"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case"
"1",-0.0014358630567887,-0.00102929178254338,-0.00189610710920909,-0.000816806751999701,-0.00183529417603585,0,-0.000417921683882438,-0.000417921683882437,-0.00696536139804063,-0.00696536139804062,-0.00271291386205124,-0.00218198947340364,"sd_epsilon_A = 0.01"
"2",0.00309877588519844,0.00212401568004049,0.00420221731202518,0.00195830538849918,0.0044001429537551,0,0.000588503056081628,0.000588503056081627,0.0163558239821853,0.0163558239821853,0.00616052270238311,0.00503389678956313,"sd_epsilon_A = 0.01"
"3",0.000787577955847154,0.000701624821961028,0.000884878038671287,0.000172680916107541,0.000387999093908717,0,0.000670586943779502,0.000670586943779501,0.0019565678510462,0.0019565678510462,0.00105755895518368,0.000739340290144543,"sd_epsilon_A = 0.01"
"4",-0.00472693532205027,-0.00323231242148663,-0.00641886818639881,-0.00300271601616672,-0.00674684336684882,0,-0.000872905135079978,-0.000872905135079975,-0.0250542810372118,-0.0250542810372118,-0.00942158420540412,-0.00770452422574717,"sd_epsilon_A = 0.01"
"5",-0.0025504747831832,-0.00203158207068878,-0.00313786818723795,-0.00104246191985597,-0.00234232183513534,0,-0.00139698564653987,-0.00139698564653987,-0.00960758032607827,-0.00960758032607827,-0.00418033010850544,-0.0031972130635556,"sd_epsilon_A = 0.01"
"6",0.00493958860222309,0.00321558497672335,0.00689118347684934,0.00346354474852487,0.00778228569949318,0,0.00039002859000799,0.000390028590007987,0.0283865849625911,0.0283865849625911,0.0103547282284082,0.00859236911873695,"sd_epsilon_A = 0.01"
"7",0.00909917697445399,0.00661353446881416,0.0119129571210901,0.0049936867414536,0.0112203825092282,0,0.00294090910170711,0.00294090910170711,0.0429047037849933,0.0429047037849933,0.0169066438678444,0.0135242374803453,"sd_epsilon_A = 0.01"
"8",0.0113211181060233,0.00880038308888363,0.0141746234391774,0.00506418803382861,0.0113787928200034,0,0.00550068940812114,0.00550068940812113,0.0456039142086076,0.0456039142086076,0.0192388114793623,0.0149177710728556,"sd_epsilon_A = 0.01"
"9",0.00450625861731746,0.00451131565901903,0.00450053397931812,-1.01596600639983e-05,-2.28278777356997e-05,0,0.00543689691839434,0.00543689691839434,0.00443748124600796,0.00443748124600797,0.00449037432136306,0.0025717368078142,"sd_epsilon_A = 0.01"
"10",-0.00827038271420365,-0.00466241678778709,-0.0123546477967551,-0.00724844846769302,-0.0162866372311568,0,0.00167029125262317,0.00167029125262317,-0.0573398641777918,-0.0573398641777918,-0.0196030962698293,-0.0167945186883667,"sd_epsilon_A = 0.01"
"11",-0.0123426701801653,-0.00845880109469484,-0.0167392612828821,-0.00780274134916086,-0.0175320854291249,0,-0.00233979755187541,-0.0023397975518754,-0.0651645221556864,-0.0651645221556864,-0.024542002639447,-0.0200548227022875,"sd_epsilon_A = 0.01"
"12",-0.0187102920918555,-0.0139572887062884,-0.0240907547017675,-0.0095488429790303,-0.0214554248780495,0,-0.00720056847911281,-0.0072005684791128,-0.0833526463391656,-0.0833526463391655,-0.0336395976915479,-0.0266139206139091,"sd_epsilon_A = 0.01"
"13",-0.0222724158207786,-0.0176427785782614,-0.0275132263273437,-0.00930099886138023,-0.0208985405668842,0,-0.0118827514529877,-0.0118827514529877,-0.0852369513770276,-0.0852369513770276,-0.0368142252010913,-0.0282483769755701,"sd_epsilon_A = 0.01"
"14",-0.0108382572625156,-0.010536662585238,-0.0111796664206424,-0.000605907460977115,-0.00136142169763564,0,-0.0120661888003307,-0.0120661888003307,-0.0149400405753712,-0.0149400405753712,-0.0117855738868229,-0.0072327710293033,"sd_epsilon_A = 0.01"
"15",-0.0124867569440405,-0.0117611016535803,-0.0133082083172631,-0.00145785051264311,-0.00327566410224133,0,-0.0126835714217522,-0.0126835714217522,-0.0223558991573565,-0.0223558991573565,-0.0147660588360589,-0.00959528992355362,"sd_epsilon_A = 0.01"
"16",0.0031121216675211,-0.000722896575290882,0.00745341297112875,0.00770459939868529,0.0173115689480264,0,-0.00860638193560416,-0.00860638193560416,0.0552695866807155,0.0552695866807155,0.0151580123728735,0.0145892727621918,"sd_epsilon_A = 0.01"
"17",-0.000728933695839592,-0.00252682528479637,0.00130630332932886,0.00361198658747946,0.00811582168151413,0,-0.00666662127470608,-0.00666662127470609,0.023722962412697,0.023722962412697,0.00491828991721763,0.00558273231309337,"sd_epsilon_A = 0.01"
"18",-0.00397014928338359,-0.00439853556961285,-0.0034852103492657,0.000860633383075507,0.00193376882776384,0,-0.00615526158967494,-0.00615526158967495,0.00185604014247958,0.00185604014247958,-0.00262457696787121,-0.00085067122087041,"sd_epsilon_A = 0.01"
"19",0.00536682645558553,0.00241371996783377,0.00870978200421513,0.00593282770208955,0.0133305510784544,0,-0.00305414518893585,-0.00305414518893586,0.0455300117559765,0.0455300117559765,0.0146426097100521,0.0129406132609016,"sd_epsilon_A = 0.01"
"20",-0.012010707685968,-0.00932108310978587,-0.0150553982306438,-0.00540348926070827,-0.0121411733513779,0,-0.00578632380057235,-0.00578632380057234,-0.0485904553828774,-0.0485904553828774,-0.0204588874981019,-0.0158776686636618,"sd_epsilon_A = 0.01"
"21",-0.0195112504625497,-0.0153340943816707,-0.02423984631779,-0.00839195857408723,-0.0188560056085997,0,-0.0100184582909942,-0.0100184582909942,-0.0763218986409362,-0.0763218986409362,-0.0326318049027621,-0.0251518185012359,"sd_epsilon_A = 0.01"
"22",-0.0274715839294297,-0.02202602088338,-0.0336360332223041,-0.0109402039592466,-0.0245816927472738,0,-0.0155093289527456,-0.0155093289527456,-0.101532969320185,-0.101532969320185,-0.0445762371966945,-0.0339586442238372,"sd_epsilon_A = 0.01"
"23",-0.0326880939183979,-0.0270441903155094,-0.0390770673412866,-0.011338672607065,-0.0254770173600547,0,-0.0211455876447374,-0.0211455876447374,-0.109446973819275,-0.109446973819275,-0.0504157399660219,-0.0376173376407973,"sd_epsilon_A = 0.01"
"24",-0.0391970138605499,-0.0330226764489672,-0.0461864453608259,-0.0124043207326003,-0.0278714365956877,0,-0.0272670500985685,-0.0272670500985685,-0.123169961875256,-0.123169961875256,-0.0585907661143673,-0.0431270019658063,"sd_epsilon_A = 0.01"
"25",-0.032263073940234,-0.0294777071582701,-0.0354161459264133,-0.00559583654274821,-0.0125733610712541,0,-0.0298397238537671,-0.0298397238537671,-0.0701449460185462,-0.0701449460185462,-0.041011982485439,-0.0278312212004547,"sd_epsilon_A = 0.01"
"26",-0.0371651347924682,-0.0335908624955971,-0.0412112582413502,-0.00718075754436305,-0.016134541579066,0,-0.0331959227549007,-0.0331959227549007,-0.0857763722059941,-0.0857763722059941,-0.0483920158046168,-0.0332806200546773,"sd_epsilon_A = 0.01"
"27",-0.0337759101003487,-0.0319429190129838,-0.0358508802213076,-0.00368250191433862,-0.00827426352898758,0,-0.0347264776213316,-0.0347264776213316,-0.0587051705287489,-0.0587051705287489,-0.0395333821522348,-0.0255211829459174,"sd_epsilon_A = 0.01"
"28",-0.0375354577255817,-0.034994375748374,-0.0404119960862746,-0.0051050653280726,-0.0114706405691542,0,-0.0369685877007192,-0.0369685877007192,-0.0720949789444596,-0.0720949789444596,-0.0455170614329927,-0.0300445018048331,"sd_epsilon_A = 0.01"
"29",-0.0442341138367464,-0.040318428936249,-0.0486667208622955,-0.00786665971540915,-0.0176757044760782,0,-0.0405997926984294,-0.0405997926984294,-0.097488670995889,-0.097488670995889,-0.0565333806000623,-0.0384810460929664,"sd_epsilon_A = 0.01"
"30",-0.0443471400434124,-0.0412451024350329,-0.0478586875876681,-0.0062320321749654,-0.0140028376719825,0,-0.0433559552873373,-0.0433559552873373,-0.0865358358468955,-0.0865358358468955,-0.0540907197847043,-0.0358299714295613,"sd_epsilon_A = 0.01"
"31",-0.0481112457364083,-0.0445852515830012,-0.0521027176892336,-0.00708376615226121,-0.0159166103047074,0,-0.0465185510749366,-0.0465185510749366,-0.0960658850806588,-0.0960658850806588,-0.059186483865506,-0.0394074515192888,"sd_epsilon_A = 0.01"
"32",-0.0330783186606968,-0.0345454868155914,-0.0314174649310666,0.002947559092979,0.00662291052476521,0,-0.0445148999826037,-0.0445148999826037,-0.0131243662027226,-0.0131243662027226,-0.0284699058529712,-0.014104326388777,"sd_epsilon_A = 0.01"
"33",-0.0229133798364018,-0.0267921783082525,-0.0185225287352752,0.00779255442577893,0.0175091962900829,0,-0.0400536353727922,-0.0400536353727922,0.0298395101809206,0.0298395101809206,-0.0107299743186108,-0.000214919702057765,"sd_epsilon_A = 0.01"
"34",-0.0189323044677559,-0.0228994037033803,-0.0144414957357649,0.00796995175933285,0.0179077927665982,0,-0.0355491270130325,-0.0355491270130325,0.035021503956537,0.035021503956537,-0.00647154398364472,0.00236675975290313,"sd_epsilon_A = 0.01"
"35",-0.0104066705240698,-0.0157388125335722,-0.00437061534262677,0.0107123396873394,0.0240697014195406,0,-0.0296894502257438,-0.0296894502257438,0.0621121527751118,0.0621121527751117,0.00634172434206406,0.0118208980002106,"sd_epsilon_A = 0.01"
"36",-0.0130110434701777,-0.0162411176012311,-0.00935455689115476,0.00648925914726534,0.0145808044425536,0,-0.0260529438324098,-0.0260529438324099,0.0309189896631552,0.0309189896631552,-0.00286529774863587,0.00330799138449123,"sd_epsilon_A = 0.01"
"37",-0.00793477038852977,-0.0117553289531062,-0.00360984763166754,0.00767554972586286,0.0172462968430995,0,-0.0218482048977973,-0.0218482048977973,0.0440260384111328,0.0440260384111328,0.00406570209207355,0.00819512511183424,"sd_epsilon_A = 0.01"
"38",-0.011077096641119,-0.0130286726520753,-0.00886788682039027,0.00392074050551046,0.00880956504925069,0,-0.0196094152216163,-0.0196094152216163,0.0154649563718859,0.0154649563718859,-0.00494714631925416,0.00015124406611553,"sd_epsilon_A = 0.01"
"39",-0.00344866999836169,-0.00703889103482813,0.000615507634392557,0.0072127987636804,0.0162065354265294,0,-0.0157100817885282,-0.0157100817885282,0.0453794753298521,0.0453794753298521,0.00782830639795662,0.0100032825295693,"sd_epsilon_A = 0.01"
"40",-0.000988414385077298,-0.0043671740625738,0.00283638619635108,0.0067879702604684,0.0152519824975123,0,-0.0120696495195286,-0.0120696495195286,0.0449637893614639,0.0449637893614638,0.0096243564577674,0.0107107044149878,"sd_epsilon_A = 0.01"
